campaign_id,campaign_channel,content_id,content,dominant_topic,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,specialty
CMP_1,in-person,C0000,group control risk cardiovascular disease analysis significant blood outcome pressure,9,0.0004003187,0.00058433606,0.20502715,0.00050731376,0.00054102467,0.12990241,0.1873738,0.0006033033,0.00046935194,0.474591,Cardiology
CMP_2,rep_visit,C0001,management diabetes glucose risk clinical health diabete cardiovascular care insulin,5,0.00044007343,0.00064236496,0.00044564498,0.0005576939,0.0005947526,0.9947356,0.00064954284,0.0006632159,0.0005159622,0.0007551454,General Practice
CMP_3,social-event,C0002,health care healthcare self model include factor intervention management medical,1,0.0016923993,0.53225994,0.44880128,0.0021447346,0.002287252,0.0028775954,0.0024979608,0.0025505426,0.001984246,0.0029040775,Family Medicine
CMP_4,rep_visit,C0003,thyroid disorder woman hormone disease hypothyroidism association pregnancy tsh level,0,0.54662895,0.2719519,0.0005720167,0.00071583944,0.00076340686,0.0009604448,0.17592463,0.0008512843,0.0006622738,0.00096928375,Endocrinology
CMP_5,rep_visit,C0004,disease therapy ckd treatment cell risk inflammatory potential systemic effect,7,0.2091262,0.0046370085,0.0032169544,0.0040257964,0.0042933105,0.36641833,0.0046888217,0.3944179,0.0037245497,0.0054511274,General Practice
CMP_6,rep_visit,C0005,management diabetes glucose risk clinical health diabete cardiovascular care insulin,5,0.00020274194,0.00029593776,0.29569355,0.00025692972,0.00027400267,0.5905724,0.00029924457,0.11181963,0.0002377039,0.000347896,General Practice
CMP_7,webinar,C0006,disease therapy ckd treatment cell risk inflammatory potential systemic effect,7,0.00033333022,0.00048655452,0.21595162,0.00042242094,0.00045049077,0.000566763,0.00049199135,0.78033406,0.00039081156,0.0005719801,General Practice
CMP_8,rep_visit,C0007,management diabetes glucose risk clinical health diabete cardiovascular care insulin,5,0.0003509484,0.0005122713,0.00035539156,0.000444748,0.09541548,0.5019958,0.0005179955,0.3993937,0.00041146792,0.00060221105,General Practice
CMP_9,email,C0008,thyroid disorder drug infection role include relate adverse function gut,4,0.00048867526,0.00071330817,0.44238162,0.0006192858,0.45934322,0.0008308964,0.0007212787,0.09349015,0.00057294517,0.0008385444,Internal Medicine
CMP_10,webinar,C0009,management diabetes glucose risk clinical health diabete cardiovascular care insulin,5,0.0015598708,0.002276907,0.0015796195,0.0019767846,0.0021081418,0.98134,0.002302349,0.0023508144,0.0018288636,0.00267666,General Practice
CMP_11,in-person,C0010,health care healthcare self model include factor intervention management medical,1,0.00029617333,0.63312024,0.000299923,0.00037533292,0.0004002738,0.36376914,0.0004371482,0.00044635017,0.0003472471,0.00050821993,Family Medicine
CMP_12,rep_visit,C0011,risk age factor high year disease prevalence associate cardiovascular group,6,0.00033055918,0.07939486,0.00033474423,0.00041890927,0.00044674575,0.11961878,0.7980024,0.0004981716,0.00038756267,0.000567224,General Practice
CMP_13,webinar,C0012,disease therapy ckd treatment cell risk inflammatory potential systemic effect,7,0.00030999025,0.0004524856,0.00031391488,0.00039284278,0.3398165,0.11972652,0.00045754173,0.5376348,0.0003634467,0.00053192885,General Practice
CMP_14,rep_visit,C0013,risk age factor high year disease prevalence associate cardiovascular group,6,0.0016924508,0.0024704318,0.0017138781,0.0021448,0.11212583,0.0028776831,0.73587316,0.00255062,0.0019843066,0.13656685,General Practice
CMP_15,webinar,C0014,disease therapy ckd treatment cell risk inflammatory potential systemic effect,7,0.0027397615,0.003999167,0.0027744481,0.0034720302,0.46526265,0.004658432,0.004043854,0.50513613,0.0032122214,0.004701303,General Practice
CMP_16,social-event,C0015,treatment use respiratory cancer type therapy clinical need care obesity,2,0.00033055994,0.00048251072,0.9283182,0.00041891023,0.00044674677,0.06806218,0.00048790238,0.0004981729,0.00038756354,0.0005672252,General Practice
CMP_17,rep_visit,C0016,management diabetes glucose risk clinical health diabete cardiovascular care insulin,5,0.00040851967,0.0005963068,0.0004136917,0.114429794,0.00055210816,0.3561786,0.25170714,0.0006156626,0.0004789671,0.27461922,General Practice
CMP_18,social-event,C0017,respiratory care disease practice use recommendation clinical pulmonary report year,3,0.0017674402,0.0025798925,0.0017898169,0.5115766,0.0023886687,0.46952012,0.0026087193,0.002663633,0.0020722277,0.0030328399,Family Medicine
CMP_19,webinar,C0018,thyroid disorder drug infection role include relate adverse function gut,4,0.0015598936,0.002276941,0.0015796425,0.0019768137,0.618565,0.0026522952,0.0023023838,0.36458144,0.0018288904,0.0026767098,Internal Medicine
CMP_20,webinar,C0019,management diabetes glucose risk clinical health diabete cardiovascular care insulin,5,0.00030999206,0.00045248828,0.00031391668,0.00039284505,0.15787095,0.73961824,0.00045754432,0.00046717582,0.0003634488,0.099753425,General Practice
CMP_21,webinar,C0020,management diabetes glucose risk clinical health diabete cardiovascular care insulin,5,0.0024085054,0.0035156403,0.0024389983,0.20487952,0.0032550585,0.76936084,0.0035549242,0.0036297566,0.0028238418,0.0041328827,General Practice
CMP_22,webinar,C0021,disease therapy ckd treatment cell risk inflammatory potential systemic effect,7,0.000541822,0.0007908851,0.19568399,0.00068663724,0.00073226425,0.000921263,0.0007997225,0.7982784,0.0006352568,0.0009297404,General Practice
CMP_23,in-person,C0022,management diabetes glucose risk clinical health diabete cardiovascular care insulin,5,0.00032253857,0.00047080222,0.00032662207,0.00040874496,0.00043590603,0.829701,0.00047608305,0.0004860843,0.00037815896,0.16699402,General Practice
CMP_24,in-person,C0023,health care healthcare self model include factor intervention management medical,1,0.0010903769,0.558401,0.0011041816,0.001381807,0.0014736279,0.43014693,0.0016093823,0.0016432605,0.0012784076,0.0018710342,Family Medicine
CMP_25,in-person,C0024,health care healthcare self model include factor intervention management medical,1,0.0024085399,0.50646764,0.002439033,0.0030522814,0.003255105,0.0040952465,0.003554974,0.4677703,0.002823882,0.004132962,Family Medicine
CMP_26,rep_visit,C0025,health care healthcare self model include factor intervention management medical,1,0.0010903549,0.6704804,0.0011041593,0.001381779,0.0014735981,0.3180678,0.0016093499,0.0016432271,0.0012783818,0.0018709975,Family Medicine
