PMID,Title,Abstract,Topic
40887509,Sodium glucose co-transporter 2 inhibitor-associated euglycaemic diabetic ketoacidosis in the emergency peri-operative period: a systematic review.,"Perioperative euglycaemic diabetic ketoacidosis (EuDKA) is a rare but life-threatening complication associated with sodium-glucose co-transporter-2 inhibitors (SGLT2i). It is characterised by ketonaemia, acidosis, and normal serum glucose. Whilst guidelines advise withholding SGLT2i prior to elective surgery, limited guidance exists for emergency procedures. This systematic review aimed to describe EuDKA cases following emergency surgery, identify patient characteristics, and examine contributing risk factors. A search of electronic databases up to April 2024 identified 30 cases from 21 publications. In most cases, EuDKA onset occurred within three days postoperatively (range: intraoperative to 10 days). Reported risk factors included inadequate SGLT2i withholding time, poor glycaemic control, morbid obesity, major surgery, intercurrent illness, suboptimal intraoperative diabetes management, and delayed gastrointestinal absorption. Morbidity was significant: ten patients required intensive care, two required intubation and ventilation, two received dialysis, and one underwent exploratory laparotomy. No deaths were reported. Due to atypical biochemical findings and non-specific symptoms, EuDKA remains under-recognised. Clinicians are advised to maintain a high index of suspicion, ensure appropriate perioperative insulin management, conduct vigilant laboratory monitoring, and provide patient education to reduce the risk in emergency surgical settings.",Diabetes Management
40886230,Can Dual Incretin Receptor Agonists Exert Better Cardiovascular Protection than Selective GLP-1 Receptor Agonists? Highlights from SURPASS-CVOT.,"Despite advances in cardiovascular risk reduction in type 2 diabetes (T2D), a persistent gap remains compared to individuals without diabetes. Glucagon-like peptide-1 receptor agonists (GLP-1RA) have provided consistent cardiovascular benefits. With more cardiovascular protective agents available for diabetes management, their incremental effect may be nearing a ceiling. The SURPASS-CVOT trial innovatively compared the dual GIP/GLP-1RA tirzepatide with the selective GLP-1RA dulaglutide, demonstrating noninferiority for major adverse cardiovascular events (MACE; HR 0.92; 95.3% CI 0.83-1.01; p = 0.086) and suggesting a potential 28% MACE risk reduction versus an imputed placebo. However, superiority over dulaglutide was narrowly missed. Despite greater improvements in glycemia (0.8% greater HbA1c reduction) and weight (7% greater weight loss), tirzepatide appeared to confer limited incremental cardiovascular benefit, raising questions about mechanism saturation or trial design constraints. Exploratory analyses showed promising benefits on mortality and renal function but require cautious interpretation. The trial's active comparator/imputed placebo design reflects an evolving ethical and therapeutic landscape in diabetes care. Whether dual incretin receptor agonism can meaningfully exceed current cardioprotective thresholds remains uncertain. By now, we may need new paradigms to overcome what may turn out to be a therapeutic ceiling for cardiovascular protection in the T2D population.",Diabetes Management
40885915,The association between diabetes management self-efficacy and quality of life among Palestinian patients with type 2 diabetes.,"Self-efficacy emerges as a crucial element that impacts engagement in self-care behaviors among patients with type 2 diabetes. There is a lack of studies examining management self-efficacy and quality of life among patients with type 2 diabetes in Palestine. Thus, this study examined these variables among this cohort.",Diabetes Management
40884731,Intrinsic Motivation Moderates the Effect of Family Conflict on Disordered Eating Behaviors in Adolescents with Type 1 Diabetes.,"Few studies have examined effects of intrinsic motivation (IM) on adaptive behaviors among adolescents with type 1 diabetes (T1D), although greater IM has been associated with less diabetes-related family conflict (FC) and increased regimen adherence. Greater FC has also been associated with disordered eating behaviors (DEBs). We examined the moderating role of IM between FC and DEBs in a culturally diverse sample of youth with T1D. 226 adolescents (Mage = 15.03, 59.3% female, 65.8% Hispanic, 19.0% Black, MA1c = 8.19%, 74.30% eligible for subsidized health insurance) completed pre-visit screening measures assessing IM, FC, and DEBs. Gender, race, ethnicity, A1c, BMI, and insurance status were obtained from medical records and treated as covariates. Black youth had higher rates of DEBs (p < .01) and A1c levels (p < .001) than White youth. Significant correlations were observed across study variables. Accounting for covariates, IM moderated the relationship between FC and DEBs, whereby the effect of FC on DEBs emerged strongest at low IM (p < .001). As IM levels increased, the effect of FC on DEBs decreased, making the relationship between FC and DEBs non-significant. Greater IM for diabetes management attenuates the association between FC and DEBs. Promoting IM may decrease FC and DEBs in youth with T1D.",Diabetes Management
40877913,Inhibitory effects of the flavonoids extracted from Pollen Typhae on palmitic acid-induced NLRP3 inflammasome activation in macrophages involving AMPK-mediated lipid metabolism.,"Pollen Typhae (PT), a traditional Chinese medicine herb utilized in diabetes management, exerts anti-inflammatory effects through its flavonoids, yet the active constituents and mechanisms remain unclear.",Diabetes Management
40872492,Phytocannabinoids as Novel SGLT2 Modulators for Renal Glucose Reabsorption in Type 2 Diabetes Management.,"Background: Sodium-glucose cotransporter 2 (SGLT2) inhibitors have transformed type 2 diabetes mellitus (T2DM) management by promoting glucosuria, lowering glycated hemoglobin (HbA1c), blood pressure, and weight; however, their use is limited by genitourinary infections and ketoacidosis. Phytocannabinoids-bioactive compounds from Cannabis sativa-exhibit multi-target pharmacology, including interactions with cannabinoid receptors, Peroxisome Proliferator-Activated Receptors (PPARs), Transient Receptor Potential (TRP) channels, and potentially SGLT2. Objective: To evaluate the potential of phytocannabinoids as novel modulators of renal glucose reabsorption via SGLT2 and to compare their efficacy, safety, and pharmacological profiles with synthetic SGLT2 inhibitors. Methods: We performed a narrative review encompassing the following: (1) the molecular and physiological roles of SGLT2; (2) chemical classification, natural sources, and pharmacokinetics/pharmacodynamics of major phytocannabinoids (Δ9-Tetrahydrocannabinol or Δ9-THC, Cannabidiol or CBD, Cannabigerol or CBG, Cannabichromene or CBC, Tetrahydrocannabivarin or THCV, and β-caryophyllene); (3) in silico docking and drug-likeness assessments; (4) in vitro assays of receptor binding, TRP channel modulation, and glucose transport; (5) in vivo rodent models evaluating glycemic control, weight change, and organ protection; (6) pilot clinical studies of THCV and case reports of CBD/BCP; (7) comparative analysis with established synthetic inhibitors. Results: In silico studies identify high-affinity binding of several phytocannabinoids within the SGLT2 substrate pocket. In vitro, CBG and THCV modulate SGLT2-related pathways indirectly via TRP channels and CB receptors; direct IC50 values for SGLT2 remain to be determined. In vivo, THCV and CBD demonstrate glucose-lowering, insulin-sensitizing, weight-reducing, anti-inflammatory, and organ-protective effects. Pilot clinical data (n = 62) show that THCV decreases fasting glucose, enhances β-cell function, and lacks psychoactive side effects. Compared to synthetic inhibitors, phytocannabinoids offer pleiotropic benefits but face challenges of low oral bioavailability, polypharmacology, inter-individual variability, and limited large-scale trials. Discussion: While preclinical and early clinical data highlight phytocannabinoids' potential in SGLT2 modulation and broader metabolic improvement, their translation is impeded by significant challenges. These include low oral bioavailability, inconsistent pharmacokinetic profiles, and the absence of standardized formulations, necessitating advanced delivery system development. Furthermore, the inherent polypharmacology of these compounds, while beneficial, demands comprehensive safety assessments for potential off-target effects and drug interactions. The scarcity of large-scale, well-controlled clinical trials and the need for clear regulatory frameworks remain critical hurdles. Addressing these aspects is paramount to fully realize the therapeutic utility of phytocannabinoids as a comprehensive approach to T2DM management. Conclusion: Phytocannabinoids represent promising multi-target agents for T2DM through potential SGLT2 modulation and complementary metabolic effects. Future work should focus on pharmacokinetic optimization, precise quantification of SGLT2 inhibition, and robust clinical trials to establish efficacy and safety profiles relative to synthetic inhibitors.",Diabetes Management
40872486,Acrocomia aculeata Oil-Loaded Nanoemulsion: A Promising Candidate for Cancer and Diabetes Management.,"Background: Diabetes and cancer are two of the most life-threatening disorders affecting individuals of all ages worldwide. This study aimed to develop a novel Acrocomia aculeata (bocaiuva) fruit pulp oil-loaded nanoemulsion and evaluate its inhibitory effects on α-glucosidase and pancreatic lipase, as well as its antiglycant activity and cytotoxicity against cancer cells. Additionally, this study assessed the impact of both the oil and the nanoemulsion on blood cells. Methods: The pulp oil was extracted by cold pressing. The oil's physicochemical properties were determined according to the AOAC and the Brazilian Pharmacopeia. The lipid profile was performed by GC-MS. The nanoemulsion was prepared by the phase inversion method using ultrasonic stirring for particle size reduction and for homogenization. Response Surface Methodology was used for optimizing nanoemulsion preparation. Enzyme inhibition tests were conducted using assay kits. Cytotoxicity in cancer cells was evaluated using the Sulforhodamine B assay. Results: Comprehensive physicochemical and chemical characterization of bocaiuva oil was performed, identifying oleic acid (71.25%) as the main component. The oil contains 23.04% saturated fatty acids, 73.79% monounsaturated acids, and 3.0% polyunsaturated fatty acids. The nanoemulsion (particle size 173.6 nm; zeta potential -14.10 mV) inhibited α-glucosidase (IC50: 43.21 µg/mL) and pancreatic lipase (IC50: 41.99 µg/mL), and revealed a potent antiglycation effect (oxidative IC50: 18.36 µg/mL; non-oxidative pathway IC50: 16.33 µg/mL). The nanoemulsion demonstrated good cytotoxicity and selectivity against prostate cancer cells (IC50: 19.13 µg/mL) and breast cancer cells (IC50: 27.22 µg/mL), without inducing hemolysis, platelet aggregation, or anticoagulant effects. Conclusions: In this study, a comprehensive physical and chemical characterization of bocaiuva fruit pulp oil was conducted for the first time as a preliminary step toward its future standardization as an active ingredient in cosmetic and pharmaceutical formulations. The resulting nanoemulsion represents a novel alternative for managing diabetes and cancer. Although the nanoemulsion exhibited lower cytotoxicity compared to doxorubicin, it remains promising due to its composition of essential fatty acids, phenols, and carotenoids, which offer multiple health benefits. Further studies are needed to validate its efficacy and safety in clinical applications.",Diabetes Management
40871679,Beyond Green: The Therapeutic Potential of Chlorophyll and Its Derivatives in Diabetes Control.,"Chlorophyll, the green pigment essential for photosynthesis, abundantly found in green vegetables and algae, has attracted growing scientific interest for its potential therapeutic effects, particularly in diabetes management. Recent research highlighted that chlorophyll and its derivatives may beneficially influence glucose metabolism and oxidative stress, key factors in diabetes. This review examines current knowledge on how chlorophyll compounds could aid diabetes control. Chlorophyll and its derivatives appear to support glucose regulation primarily through actions in the gastrointestinal tract. They modulate gut microbiota, improve glucose tolerance, reduce inflammation, and alleviate obesity-related markers. While chlorophyll itself does not directly inhibit digestive enzymes like α-glucosidase, its derivatives such as pheophorbide a, pheophytin a, and pyropheophytin a may slow carbohydrate digestion, acting as α-amylase and α-glucosidase inhibitors, reducing postprandial glucose spikes. Additionally, chlorophyll enhances resistant starch content, further controlling glucose absorption. Beyond digestion, chlorophyll derivatives show promise in inhibiting glycation processes, improving insulin sensitivity through nuclear receptor modulation, and lowering oxidative stress. However, some compounds pose risks due to photosensitizing effects and toxicity, warranting careful consideration. Chlorophyllin, a stable semi-synthetic derivative, also shows potential in improving glucose and lipid metabolism. Notably, pheophorbide a demonstrates insulin-mimetic activity by stimulating glucose uptake via glucose transporters, offering a novel therapeutic avenue. Overall, the antioxidant, anti-inflammatory, and insulin-mimicking properties of chlorophyll derivatives suggest a multifaceted approach to diabetes management. While promising, these findings require further clinical validation to establish effective therapeutic applications.",Diabetes Management
40871634,In Vitro Assessment of the Bioaccessibility and Hypoglycemic Properties of Essential Amino Acids Blend: Implication for Diabetes Management.,"Background/Objectives: Essential amino acid (EAA) supplementation is often employed in sportive and clinical nutrition due to EAAs' role in muscle mass maintenance and growth. EAAs are also involved in insulin and glucagone regulation in diabetes management, but only few reports investigate their possible implication as dipeptidyl peptidase-IV (DPP-IV) inhibitors and their effect on the stability and secretion of enteroendocrine hormones. A blend of EAAs (called GAF) available as a food supplement, in a specific qualitative and quantitative ratio, was investigated to address its in vitro bioaccessibility, its hypoglycemic properties in vitro and in situ on cellular models, and its safety on intestinal Caco-2 cells. Methods: GAF was subjected to the INFOGEST static digestion protocol, producing the iGAF sample. iGAf DPP-IV inhibitory properties were investigated both in vitro and in situ on Caco-2 cells. Then, STC-1 enteroendocrine cells were employed alone and in co-culture with Caco-2 cells to evaluate iGAF's impact on glucagon-like peptide 1 (GLP-1) hormone secretion. Results: The study demonstrates that the present EAAs blend is stable and bioaccessible after simulated gastrointestinal digestion, and it is safe at the intestinal cellular level. It inhibits DPP-IV enzyme both in vitro and in situ and promotes GLP-1 secretion by enteroendocrine cells. Conclusions: The sample demonstrated safety at the intestinal level and showed hypoglycemic properties by acting on a dual synergic mechanism that involves DPP-IV enzyme inhibition and GLP-1 hormone stimulation.",Diabetes Management
40871057,Emerging Frontiers in GLP-1 Therapeutics: A Comprehensive Evidence Base (2025).,"Glucagon-like peptide-1 receptor agonists (GLP-1 RAs) have evolved from glucose-lowering agents to transformative therapies across multiple organ systems. This comprehensive review synthesizes current evidence on the mechanisms, established applications, and emerging therapeutic frontiers of GLP-1 RAs.",Diabetes Management
